8인실로 예약 가능한가요?	8인실은 예약 가능해요
인공향이에요? 천연향이에요?	정확하게 말할 수 없지만, 네이처 자체가 화학적인 향을 첨가하고 그런 회사가 아니에요
이 상품 할인은 하지 않나요?	신규 가입하시면 20퍼센트 할인 쿠폰 발급해드립니다
퀵으로 배달이 가능해요?	퀵을 저희 가게로 보내시면 준비해서 보내드려요
사이즈 어떤 걸로 하세요?	라지요
체크인 시간 전에 가도 되나요?	체크인 시간에 맞춰와주세요
선물용이니 신제품으로 선물포장 부탁드립니다	알겠습니다
정사이즈 인가요	아뇨 신발이 커서 한치수 작은거 신으시면 맞습니다
그거 하나 하고예 음료는 뭐 되노	음료는 탄산하고 커피 커피는 아메리카노 핫초코 라떼 밀크티 있어요
한식으로4인부탁드려요	감사합니다
머랭은 안 파세요?	머랭은 판매하지 않습니다
헤드셋은 자리에 다 비치되어 있나요?	자리에 보시면 있어요
추천 좀 해주세요.	최근에는 이런 운동화가 제일 반응은 좋아요
견과류는 혹시 수입 써요	수입 쓰죠. 국산 쓸려면 몇만 원 더 받아야 해요
안에 솜 들었네요?	안에 솜 들었어요
약은 식후에 복용하는거죠?	식후에 하루 두 번만 드세요
복구펌 같은게 있다던데 여기서도 하나요?	그런데 고객님은 사용하시는 제품의 문제일 수도 있어 보여요
몇 명이신가요?	4명입니다
아침 식사 할 곳 있나요?	청국장 집도 있고, 건너편에 김밥도 팔아요
영수증 받아야 하는데 깜빡했네요	영수증 드릴게요
그럼 주로 많이 나가는 약은 어떤거에요?	녹십자에서 나오는 제품인데 하루 한 알 내지 두 알 드시면 됩니다
이 중에 제일 잘 나가는 건 어떤 거예요?	제일 잘 나가는 건 이 제품입니다
이거는 가격 어떻게 해요?	그거 만 원요
네, 몇 분이 서 숙박하실 건가요?	어른 2명 아이 2명이요
성함이 어떻게 되시죠?	박철수입니다
후룩떡볶이로 교체할경우 추가 요금이 있나요	500원의 추가 요금있습니다
사이즈는 뭘로 해드릴까요?	그란데요
쌀 가져와야 돼요?	없으시면 저희 걸로 주문하시면 돼요
어디가 주로 아프세요?	목이 많이 따끔거려요
샐러드도 파나요?	감자샐러드가 있어요
그러면 안심돈가스로 주세요	알겠습니다
사장님, 남자 정장 줄이는데 얼마쯤 해요?	수선 정도에 따라 금액이 다르기 때문에 정확히 말씀드리기 어렵습니다
여기 포켓볼도 칠 수 있나요?	포켓볼 대는 2대 있는데 현재 다른 손님이 이용 중이라 기다리셔야 합니다
이거는 가격이 어떻게 돼요?	그거는 만 이천 원이에요 뒤에 보시면 가격이 적혀있어요
네. 퇴실은 몇 시에 하실 건가요?	내일 오후 12시 정도에 할게요
그럼 내일 저녁 7시 괜찮을까요?	7시 30분이 더 괜찮습니다
두 통 사면 할인되는 거 없어요?	없어요. 여긴 공판장이라 마트랑 틀려요.
여자 옷으로는 이쁘고 큰 사이즈가 없죠?	바람막이 겸 큰 제품 있어요
카드결제 가능하죠	가능합니다
제가 원하는 나물들만 따로 담아서 가져갈 수는 없나요?	이쪽에서 집게로 담아 가지고 오시면 무게 달아드려요
여기 이과도주 있나요?	아쉽게도 없습니다
오후 두시면 점심시간대라 단체석이 가능할까요?	열명 자리는 가능하실 것 같습니다
3개월 할부 가능한가요?	가능합니다.
벤토나이트 염색하려고 하는데요	저번에 사가신 걸로 색 맞춰서 해드릴게요
언제 해드릴까요?	다음 주 일요일까지 될까요?
프린트 할 수 있나요?	프린트 가능합니다
17인치 노트북 들어갈까요?	이 가방은 15인치 노트북까지 수납 가능합니다
원하는 자리에 앉아도 되나요?	자리 잡고 아이디에 자리 번호 입력하세요
푸드존은 도시락 먹는 곳인가요?	도시락 먹고 냉장고나 프린트 사용하는 곳이에요
이 제품은 어떠세요?	이 제품 엄청 예쁘네요
사이즈가 얼마에요?	사이즈가 280.
명절이 다가와서 비싼가요?	명절때는 과일값이 비싸요.
떡케이크는 얼마에요?	말씀하시면 만들어드려요
마음에 드는데, 230사이즈 있나요?	확인해보겠습니다.
아메리카노 맞으세요?	포장 할인은 안되세요
텀블러 가져오면 따로 할인이 되나요?	텀블러 할인은 따로 없는데, 테이크 아웃 하시면 무조건 천원씩 할인이 돼요
카카오페이 결제 되나요?	계좌이체 되기 때문에 카카오페이 계좌 바꿔서 하시면 돼요
고객님 연령대가 어떻게 되세요?	저 70대 후반이에요
이 옷이랑 저 옷이랑 다르죠?	이 옷은 십구만 이천 원이에요
지금 얼마인가요?	30,000원 입니다.
네 어디가 안 좋으세요?	기침도 나고 열도 좀 있는 거 같아요
한 되에 얼마나 빼줘요?	멥쌀은 사천 원 빼드리고, 찹쌀은 육천 원 빼드려요
체크인하는 시간하고 체크아웃하는 시간은 어떻게 되나요?	체크인은 오후 세 시고, 체크아웃은 다음날 열두 시까지예요
하룻밤만 묵으시는 건가요?	키 드릴게요
차는 요 앞에 세워도 돼요? 스티커 안붙어요?	됩니다 안 붙어요
다음에는 설도 부위로 이유식 해도 괜찮겠죠?	가격도 그게 더 저렴하니 설도로 나중에 이유식 해 보세요
저기 커팅 하려면 미리 말씀드려야 하나요?	커팅칼 따로 드릴게요
방으로 된 곳은 없나요?	그럼 방으로 안내해 드릴게요
크림치즈 해놨는데, 위에가 치즈에요? 위에 얹어진 게?	안에 크림치즈가 들어가고, 위에 얹어진 게 옥수수예요
엉덩이까지 내려오고 많이 길진 않은데 세탁비가 얼마쯤 하죠?	7만 원 8만 원 정도 나가겠네요
삼성페이 결제 가능한가요?	삼성페이 결제 가능하세요
코팅이나 헤어매니큐어 똑같은 말이에요?	제품을 광고하기 위해서 업그레이드한 이름이에요
어떤 게 잘나가나요?	곡물 라떼와 고구마, 블루베리, 딸기, 망고주스가 잘나갑니다
이건 무슨 옷이에요?	바지 레깅스 같은 거예요
소재가 뭐예요? 밍크예요?	아뇨 페이크 퍼인데요 동물 털 아니고 극세사 같은 합성섬유입니다
소스 자체가 섞어져 있는 거군요. 그럼 혹시 상품권 온누리 상품권 돼요?	안됩니다
색상이 약간?	진한 그레이색인데요 요즘은 이 톤이 대세에요
제육볶음 재료 국산이죠?	돼지는 국산이에요
여드름에다가 로션 바르니까 더 많이 나는 거 아닌가요?	크림으로 살짝 보습 케어만 해서 유분감이 아예 없어요
쌀 안가져오면 얼마예요?	만 원, 만 천 원이에요.
물티슈도 4개만 가져다 주세요	곧 가져다 드리겠습니다
공덕동까지 배달오시는데 몇 분정도 걸리나요?	20분 정도 걸려요
대실은 몇 시간인가요?	대실 사용시간은 3시간이에요
할인 중인가요?	20%할인 행사 중입니다
드시고 가시는 거예요?	여기서요
이거 직접 만드시는 거예요 ?	제가 직접 디자인이랑 제작 다 해요
어떤 가방인가요?	가방을 가져와서 보여드려야 겠네요
잠시만 기다려주세요	신어봤는데 조금 불편해요
이 경우에는 매직과 세팅이 같이 들어가서 시간이 오래 걸리는 데 괜찮으시겠어요?	시간은 여유롭게 잡고 왔어요
현금영수증 되나요?	번호 찍어주세요
네 여기 카드 있습니다	여기 진동벨 가지고 계시다가 울리면 주문한 음료 가져가세요
그러면 네이버페이로 결제해 주세요	알겠습니다
헬스장은 몇 시부터 이용이 가능한가요?	헬스장은 새벽 여섯 시부터 저녁 여섯 시까지 이용이 가능하세요
다른 건 30프로?	저희는 기본이 30프로 해요
커피는 안들어가죠?	커피는 안들어갑니다
그러면 그걸 세탁하려면 어디 갖고가야돼요?	다른 데 찾아봐야 해요
차 안 갖고 오세요?	차는 갖고 가려고 하고 있는데요
아기자기한 거면 이런 거 어떠세요?	그런 거 집에 많아요
이 제품도 세일 제품에 포함돼 있는 거예요?	원래는 다른데에서는 세일 안하는 건데 저희들만 세일을 하고 있죠
제휴 카드 같은 거는 없고요?	제휴 카드는 따로 없어요
메뉴판 어딨어요? 여기 있어요?	여기 있습니다
아이스 아메리카노랑 라떼 모두 머그잔으로 도와드릴까요?	머그잔으로 드리겠습니다
와이파이는 설치가 되어 있나요?	와이파이 설치되어 있습니다
혼자 먹을 메뉴가 어떤 게 있을까요?	만두도 있고 짜장 짬뽕도 있어요
그러면 이 네이비 제품 주시고 바지기장도 좀 줄여주세요.	그럼 내일 찾으러 오셔야 됩니다.
색이 밝게도 나오나요?	밝게는 나오는 데 탈색을 하셔야해요
쇼윈도에 진열된 로퍼도 판매하시는 건가요?	고객님 판매상품입니다
오징어 젓갈도 직접 만드세요?	그것도 저희가 직접 만들어요
아저씨 사구 주세요	사구 준비해드리겠습니다
이 옷 좀 저한테 크려나?	그 옷, 고객님께 사이즈 맞아요
포인트 되나요?	포인트는 안돼요
머릿결 많이 상할까요?	최대한 상하지 않게 영양제도 넣어드릴게요
바지 색상은 한 가지인가요?	블랙과 아이보리 색상이 있어요
에스케이 할인은 안돼요?	통신사 할인은 안됩니다
오전에 전화 주신 분 맞으시죠?	초는 35개 주시고 폭죽은 안 주셔도 됩니다
브로치하고 머리핀하고 보려고요	머리핀은 밖에 있고 브로치는 안에 있습니다
빵이 구으면 이렇게 부풀러 지나요?	반죽이 부푼 거예요
아 젓가락 3개 보내주세요	챙겨드릴게요
이거 매워요?	매운맛, 순한 맛 선택하실 수 있어요
이 옷 사이즈가 저한테 작을까요?	그 옷은 니트라 좀 붙어요
파운데이션 구매하려고 하는데 추천해주세요	고객님께는 퓨처리스트 제품으로 쿨 본 색상이 잘 어울리세요
아침도 포함이 되나요?	저희는 조식 없어요
차는 어디에 세울 수 있어요?	주차할 수 있는 공간이 따로 없어요
영양도 해야 할까요?	끝에만 커트해도 될 것 같아요
오늘 방 있나요?	스위트룸와 디럭스룸이 있어요
애들 책가방 함보려고 하는데요	책가방 이쪽으로 보셔야 돼요
쿠폰은 몇 개 먹어야 한 잔 주고 이런거에요?	쿠폰에 적혀 있듯이 열 번 먹으면 아무거나 드시고 싶은거 한 잔 드려요
클리닉은 시간이 얼마나 걸려요?	클리닉도 한 시간 반은 걸려요
영수증 필요하시나요?	버려주세요
피스타치오는 오늘 더 안 나오나요?	죄송하지만 내일 오셔야 할 것 같아요
혹시 음식은 직접 받으러 오는건가요?	저희 셀프서비스라 진동벨 울리면 받으러 오시면 돼요
짜장면 계산은 어떻게 하나요?	게임비에 추가됩니다
요즘 금 시세는 얼마나해요?	18만 8천 원이요
이거 사이즈좀 보여주세요	잠시만 기다려 주세요
많이 매워요?	맵기는 주관적이라서요
이 빵은 무슨 빵이에요?	옥수수 들어있는 야채빵인데 안 달아요.
조식도 함께 하시나요?	조식 포함해서 토요일 2인실로 예약해주세요
토마토 이건 얼마에요?	토마토는 한 봉지에 이천오백 원이에요.
제가 시간이 없어 그러는데 커피를 제가 가지고 다니는 텀블러에 담아 주시겠습니까?	커피 텀블러에 담아 드릴게요
간짜장도 돼요?	짜장만 돼요
신발이 작게 나온 거 가타요	정 사이즈로 나왔는데 정 사이즈보다 조금 작다고 느끼시는 분들은 있더라고요
금액은 얼마에요	약에 따라서 다릅니다
결제는 카드로 하시나요?	문자로 계좌번호 보내드리겠습니다
조금 전에 영수증을 안 받은 것 같은데요	영수증 드리겠습니다
와이파이도 공용으로 되어 있나요?	비밀번호는 벽에 붙어 있어요
여기 예약은 가능한가요?	약도 가능하세요
시티뷰나 오션뷰 중에서 어떤 방을 원하시나요?	오션뷰로 해주세요
세일하는 건 없나요?	세일하는 건 반대쪽에 보시면 있어요
삼겹살 짜장 볶음은 삼겹살로 하는 거예요?	지금 이게 안되요
애쉬그레이로 염색하려고 하는데 탈색을 몇 번 해야 될까요?	지금 모발에서 3번은 들어가야 될 것 같아요
커피와 조각 케이크 세트로 판매하시나요?	있습니다
카드 계산 가능한가요?	저희는 현금만 받아요.
저 제품은 어때요?	저쪽 제품은 가격 대비 효능이 좋은 제품입니다
바비큐장 가격은 어떻게 돼요?	바비큐장 사용료는 3만 원이에요
여기 여학생하고 남학생하고 구분 되어 있어요?	당연히 방은 성별 구분되어 있습니다
아크릴도 드라이해야 해요?	면하고 아크릴은 드라이 할 때도 있고 물빨래 할 때도 있고 다 틀립니다.
이 가방은 뭐예요?	그거 입생로랑 휴대폰 케이스인데 가죽이에요
소고기는요, 불고기 거리로?	소고기 불고기 거리는 만오천원이요
테이크아웃 하시나요?	마시고 갈 거예요
아무 자리나 이용하면 되나요?	카드에 적힌 번호 자리 이용하시면 됩니다
몇 명까지 받을 수 있어요?	스무 명까지요
세라 루틴, 이 위에 거는 하이드라 루틴 뭐예요?	이름이에요. 세라 루틴이 미백 라인이고 하이드라 루틴은 수분 라인, 보습 라인이요
